67.01756008,0.1477035,,Fe CS,%,,,
60.63852516,0.1617579,,,,,,
60.56772763,0.1417861,,,,,,
60.49680005,0.0982849,,,,,,
60.45108087,0.1253619,,,,,,
60.35250413,0.06775436,,,,,,
60.25776245,0.0524982,,,,,,
60.16740519,0.1278287,,,,,,
60.14288888,0.1337209,,,,,,
60.10469496,0.1196187,,,,,,
60.06276673,0.06787103,,,,,,
60.00724377,0.1278933,,,,,,
59.9727028,0.1161427,,,,,,
59.92400672,0.1255741,,,,,,
59.87914887,0.1055925,,,,,,
59.81386345,0.165619,,,,,,
59.77579796,0.1503404,,,,,,
59.74814438,0.0938812,,,,,,
59.66246582,0.1597985,,,,,,
59.57674636,0.1115985,,,,,,
59.47415052,0.0904643,,,,,,
59.4063289,0.1787272,,,,,,
59.34206988,0.2411072,,,,,,
59.31509982,0.3164122,,,,,,
59.24764025,0.3964402,,,,,,
59.16988411,0.3823542,,,,,,
59.14589166,0.3000122,,,,,,
59.09909189,0.3623842,,,,,,
59.06502544,0.2353402,,,,,,
59.03099825,0.1506482,,,,,,
59.00739911,0.0894818,,,,,,
58.97035284,0.06949728,,,,,,
58.88688891,0.08247356,,,,,,
58.81705085,0.1460323,,,,,,
58.7874895,0.2919272,,,,,,
58.74821335,0.4990022,,,,,,
58.66926302,0.7421722,,,,,,
58.61933386,0.6378802,,,,,,
58.58858655,0.3967172,,,,,,
58.56174367,0.2602582,,,,,,
58.55151112,0.1837922,,,,,,
58.48218997,0.1038214,,,,,,
58.37672884,0.08151355,,,,,,
58.32729614,0.0191819,,,,,,
58.24892502,0.07215663,,,,,,
58.19779613,0.08668841,,,,,,
