67.01756008,0.1477035,,Fe CS,%,,,
67.01756008,0.1053507,,7,1.8055556,,,
66.98280219,0.07947968,,8,2.638889,,,
66.94374263,0.0547865,,9,7.5,,,
66.85746701,0.08540278,,10,13.055556,,,
66.79767411,0.1454223,,11,20.416667,,,
66.74589214,0.1301451,,12,9.3055554,,,
66.72434,0.07015228,,13,44.86111,,,
66.65582494,0.0537042,,,,,,
66.63898678,0.119592,,,,,,
66.62215713,0.1948912,,,,,,
66.59245742,0.2360782,,,,,,
66.54063589,0.151389,,,,,,
66.50672756,0.2066942,,,,,,
66.47321016,0.2761172,,,,,,
66.43509846,0.3690702,,,,,,
66.40129758,0.4420232,,,,,,
66.32492771,0.4302832,,,,,,
66.31215736,0.3926402,,,,,,
66.28202465,0.3267682,,,,,,
66.23528458,0.2467842,,,,,,
66.21370727,0.1691442,,,,,,
66.17130109,0.0950408,,,,,,
66.09545905,0.077419105,,,,,,
66.0285804,0.1503826,,,,,,
65.96955825,0.1033436,,,,,,
65.92781469,0.1821812,,,,,,
65.86512336,0.2127902,,,,,,
65.83574504,0.1563296,,,,,,
65.76904181,0.176352,,,,,,
65.71466188,0.1010764,,,,,,
65.62735445,0.0881647,,,,,,
65.6023529,0.110526,,,,,,
65.46587545,0.07880781,,,,,,
65.41993376,0,,,,,,
65.39543488,0.0411848,,,,,,
65.37509062,0.1035445,,,,,,
65.29280843,0.1176903,,,,,,
65.28043241,0.043577,,,,,,
65.23131839,0.08241733,,,,,,
65.17782367,0.0659651,,,,,,
65.11654991,0.08480962,,,,,,
65.01854659,0.0542552,,,,,,
64.96608095,0.1119204,,,,,,
64.8926353,0.0990045,,,,,,
64.86852969,0.1201894,,,,,,
64.77567009,0.1861042,,,,,,
64.65845138,0.1637918,,,,,,
64.5423281,0.2450092,,,,,,
64.45442,0.3003332,,,,,,
64.41457131,0.3768182,,,,,,
64.2589983,0.3686372,,,,,,
64.17983211,0.4498422,,,,,,
64.10086074,0.5345762,,,,,,
64.07336599,0.6063502,,,,,,
64.02208347,0.6240152,,,,,,
63.99399564,0.5334372,,,,,,
63.9583431,0.4628622,,,,,,
63.87925729,0.3781842,,,,,,
63.81678626,0.4323242,,,,,,
