Transition register 	 shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 shell FS 	 FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 rate [s-1]	 total rate 	 branching ratio
364 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)4 (3d)10 (4s)1  	 1 	 2 	 3p*1 3p3 1s2 2s2 3s2 4s1 2p*2 2p4 3d*4 3d6  	 53.28615 	 9.2017448E+02	9.5831855E+10	10075576368749940	9.5113e-06
365 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)4 (3d)10 (4s)1  	 3 	 2 	 3p*1 3p3 1s2 2s2 3s2 4s1 2p*2 2p4 3d*4 3d6  	 96.69869 	 9.2082446E+02	1.0124101E+10	10075576368749940	1.00482e-06
366 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)4 (3d)10 (4s)1  	 1 	 1 	 3p*1 3p3 1s2 2s2 3s2 4s1 2p*2 2p4 3d*4 3d6  	 44.39647 	 9.2088427E+02	1.4727417E+11	10075576368749940	1.46169e-05
367 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)4 (3d)10 (4s)1  	 3 	 1 	 3p*2 3p2 1s2 2s2 3s2 4s1 2p*2 2p4 3d*4 3d6  	 85.01197 	 9.2246676E+02	6.3715919E+10	10075576368749940	6.3238e-06
368 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)4 (3d)10 (4s)1  	 5 	 1 	 3p*2 3p2 1s2 2s2 3s2 4s1 2p*2 2p4 3d*4 3d6  	 85.55762 	 9.2304598E+02	5.2194491E+10	10075576368749940	5.1803e-06
369 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 5 	 3 	 3d*4 3d5 1s2 2s2 3s1 4s1 2p*2 3p*2 2p4 3p4  	 56.55565 	 9.4547194E+02	8.0674457E+13	10075576368749940	0.00800693
370 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 3 	 3 	 3d*4 3d5 1s2 2s2 3s1 4s1 2p*2 3p*2 2p4 3p4  	 59.15143 	 9.4547675E+02	5.6890835E+13	10075576368749940	0.00564641
371 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 3 	 2 	 3d*3 3d6 1s2 2s2 3s1 4s1 2p*2 3p*2 2p4 3p4  	 84.25056 	 9.5048024E+02	3.1497516E+13	10075576368749940	0.00312613
372 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 5 	 2 	 3d*4 3d5 1s2 2s2 3s1 4s1 2p*2 3p*2 2p4 3p4  	 82.28484 	 9.5066860E+02	4.7860318E+13	10075576368749940	0.00475013
373 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 1 	 1 	 1s2 2s2 3s1 4s1 2p*2 2p4 3p*2 3p4 3d*3 3d6  	 100 	 9.5103473E+02	5.3806647E+07	10075576368749940	5.3403e-09
374 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 3 	 1 	 3d*3 3d6 1s2 2s2 3s1 4s1 2p*2 3p*2 2p4 3p4  	 76.53562 	 9.5109589E+02	1.8538484E+10	10075576368749940	1.83994e-06
375 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 5 	 1 	 3d*4 3d5 1s2 2s2 3s1 4s1 2p*2 3p*2 2p4 3p4  	 58.41364 	 9.5119190E+02	4.7329150E+10	10075576368749940	4.69741e-06
376 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_3d 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1  	 7 	 1 	 1s2 2s2 3s1 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d5  	 100 	 9.5131516E+02	1.5509192E+08	10075576368749940	1.53929e-08
377 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3s_4s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)0  	 1 	 1 	 1s2 2s2 3s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 9.5798116E+02	2.0945426E+11	10075576368749940	2.07883e-05
378 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)9 (4s)1  	 5 	 7 	 3p*1 3p4 3d*4 3d5 1s2 2s2 3s2 4s1 2p*2 2p4  	 43.57760 	 9.8790341E+02	3.0946128E+13	10075576368749940	0.0030714
379 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)9 (4s)1  	 7 	 4 	 3p*1 3p4 3d*4 3d5 1s2 2s2 3s2 4s1 2p*2 2p4  	 43.11637 	 9.8791296E+02	4.2316674E+13	10075576368749940	0.00419993
380 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)9 (4s)1  	 3 	 7 	 3p*1 3p4 3d*3 3d6 1s2 2s2 3s2 4s1 2p*2 2p4  	 52.31267 	 9.8899554E+02	3.3943585E+12	10075576368749940	0.00033689
381 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)9 (4s)1  	 1 	 4 	 3p*1 3p4 3d*3 3d6 1s2 2s2 3s2 4s1 2p*2 2p4  	 51.52920 	 9.8900823E+02	1.2132767E+12	10075576368749940	0.000120418
382 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)9 (4s)1  	 3 	 6 	 3p*1 3p4 3d*4 3d5 1s2 2s2 3s2 4s1 2p*2 2p4  	 68.80551 	 9.9524109E+02	2.1619901E+11	10075576368749940	2.14577e-05
383 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)9 (4s)1  	 5 	 6 	 3p*1 3p4 3d*4 3d5 1s2 2s2 3s2 4s1 2p*2 2p4  	 77.35307 	 9.9568911E+02	1.2566968E+10	10075576368749940	1.24727e-06
384 	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 3p_3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)9 (4s)1  	 3 	 5 	 3p*1 3p4 3d*3 3d6 1s2 2s2 3s2 4s1 2p*2 2p4  	 33.84328 	 9.9605080E+02	2.6170615E+11	10075576368749940	2.59743e-05
