Transition register 	 shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 shell FS 	 FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 rate [s-1]	 total rate 	 branching ratio
0 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2s 	 (1s)2 (2s)0 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 1s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 6.7172535E+03	9.5537810E+13	1253600893593109	0.0762107
1 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.58811 	 6.8496926E+03	8.4381072E+13	1253600893593109	0.067311
2 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.37851 	 6.8497405E+03	1.0936905E+14	1253600893593109	0.0872439
3 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 2 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99005 	 6.8812338E+03	1.3071727E+13	1253600893593109	0.0104273
4 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.57498 	 6.8905599E+03	5.1414466E+12	1253600893593109	0.00410134
5 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 2 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.38100 	 6.8906465E+03	3.4511386E+13	1253600893593109	0.0275298
6 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 1 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99724 	 6.9018692E+03	3.7025713E+13	1253600893593109	0.0295355
7 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 5 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p3 3p*2 3p4 3d*4 3d6  	 100 	 6.9020772E+03	2.0314705E+10	1253600893593109	1.62051e-05
8 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p4 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 83.11485 	 6.9913209E+03	3.8881273E+13	1253600893593109	0.0310157
9 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.34573 	 7.0203909E+03	2.0597797E+14	1253600893593109	0.164309
10 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 5 	 2 	 2p*1 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.21916 	 7.0204230E+03	3.0769311E+14	1253600893593109	0.245447
11 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 2 	 2p*1 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.95218 	 7.0308588E+03	5.2216971E+10	1253600893593109	4.16536e-05
12 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 2 	 2p*1 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99616 	 7.0309948E+03	1.2742598E+11	1253600893593109	0.000101648
13 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 2p*2 2p2 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 83.54806 	 7.0356903E+03	1.2538952E+13	1253600893593109	0.0100023
14 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 1 	 2p*2 2p2 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.43797 	 7.0488567E+03	2.7542041E+13	1253600893593109	0.0219703
15 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 5 	 1 	 2p*2 2p2 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.31789 	 7.0490514E+03	4.9525785E+13	1253600893593109	0.0395068
16 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3s 	 (1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 2 	   	 0 	 7.7282242E+03	2.2748722E+13	1253600893593109	0.0181467
17 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3s 	 (1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 1 	   	 0 	 7.7292681E+03	1.6703799E+11	1253600893593109	0.000133247
18 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3s 	 (1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 1 	 1s2 2s1 3s1 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 7.7294646E+03	1.0485098E+07	1253600893593109	8.36398e-09
19 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 3 	 3p*1 3p4 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 87.12668 	 7.7724920E+03	6.4898875E+12	1253600893593109	0.005177
20 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 3 	 3p*1 3p4 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 90.04916 	 7.7725585E+03	1.1807726E+13	1253600893593109	0.00941905
21 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 2 	 3p*1 3p4 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 89.15972 	 7.7733843E+03	2.4686628E+11	1253600893593109	0.000196926
22 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 1 	 3p*2 3p3 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 88.22235 	 7.7750712E+03	4.8337213E+11	1253600893593109	0.000385587
23 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 2 	 3p*2 3p3 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 89.46705 	 7.7753569E+03	1.3272117E+13	1253600893593109	0.0105872
24 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 1 	 3p*2 3p3 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 91.42572 	 7.7757409E+03	1.0544325E+12	1253600893593109	0.000841123
25 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 5 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p3 3d*4 3d6  	 100 	 7.7763906E+03	2.4309792E+09	1253600893593109	1.9392e-06
26 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 3 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 51.20338 	 7.8516360E+03	1.9806813E+10	1253600893593109	1.57999e-05
27 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 3 	 3 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 57.76885 	 7.8516551E+03	3.3138510E+10	1253600893593109	2.64347e-05
28 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 3 	 2 	 3d*3 3d6 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 86.19364 	 7.8536310E+03	6.3357379E+11	1253600893593109	0.000505403
29 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 2 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 82.98707 	 7.8538783E+03	8.9035807E+11	1253600893593109	0.00071024
30 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 1 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*3 3d6  	 100 	 7.8541164E+03	5.0029216E+07	1253600893593109	3.99084e-08
31 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 3 	 1 	 3d*3 3d6 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 72.55351 	 7.8542035E+03	2.8230528E+09	1253600893593109	2.25195e-06
32 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 1 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 63.25139 	 7.8543281E+03	7.3569287E+09	1253600893593109	5.86864e-06
33 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 7 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d5  	 100 	 7.8544718E+03	5.3893237E+07	1253600893593109	4.29907e-08
34 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_4s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)0  	 1 	 1 	 1s2 2s1 3s2 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 7.8633841E+03	5.0685962E+10	1253600893593109	4.04323e-05
35 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p*1 2p4 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.55449 	 7.8733563E+03	8.5922009E+12	1253600893593109	0.00685402
36 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p4 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.54786 	 7.8735346E+03	2.8754737E+12	1253600893593109	0.00229377
37 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 2 	 2p*1 2p4 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.99444 	 7.8744830E+03	7.4442436E+11	1253600893593109	0.000593829
38 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 2 	 2p*2 2p3 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.56110 	 7.8927802E+03	1.4001766E+13	1253600893593109	0.0111692
39 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 1 	 2p*2 2p3 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.73558 	 7.8928470E+03	1.8934841E+12	1253600893593109	0.00151044
40 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 1 	 2p*2 2p3 1s2 2s2 3s1 4s1 3p*2 3p4 3d*4 3d6  	 99.99795 	 7.8944899E+03	2.6484220E+12	1253600893593109	0.00211265
41 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3s 	 (1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1  	 5 	 1 	 1s2 2s2 3s1 4s1 2p*2 2p3 3p*2 3p4 3d*4 3d6  	 100 	 7.8946481E+03	2.7439852E+09	1253600893593109	2.18888e-06
42 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 6 	 2p*1 3p*1 2p4 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 96.70419 	 7.9155880E+03	6.3044939E+12	1253600893593109	0.00502911
43 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 7 	 2p*1 3p*2 2p4 3p3 1s2 2s2 3s2 4s1 3d*4 3d6  	 94.78876 	 7.9213127E+03	2.3915144E+13	1253600893593109	0.0190772
44 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 5 	 4 	 2p*1 3p*2 2p4 3p3 1s2 2s2 3s2 4s1 3d*4 3d6  	 95.87910 	 7.9216071E+03	4.0731174E+13	1253600893593109	0.0324913
45 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 5 	 2p*1 3p*2 2p4 3p3 1s2 2s2 3s2 4s1 3d*4 3d6  	 96.46210 	 7.9223189E+03	1.6368801E+10	1253600893593109	1.30574e-05
46 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 6 	 2p*1 3p*2 2p4 3p3 1s2 2s2 3s2 4s1 3d*4 3d6  	 98.45258 	 7.9226892E+03	1.3860188E+11	1253600893593109	0.000110563
47 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 4 	 2p*1 3p*1 2p4 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 99.89897 	 7.9231690E+03	6.0526141E+10	1253600893593109	4.82818e-05
48 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 5 	 2p*1 3p*1 2p4 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 98.68345 	 7.9231856E+03	6.2785036E+11	1253600893593109	0.000500838
49 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 4 	 2p*1 3p*1 2p4 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 98.35777 	 7.9233559E+03	5.1959052E+09	1253600893593109	4.14478e-06
50 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 5 	 3 	 2p*2 3p*1 2p3 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 53.48431 	 7.9395901E+03	3.5621660E+13	1253600893593109	0.0284155
51 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 2 	 2p*2 3p*1 2p3 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 93.92889 	 7.9399888E+03	1.7943390E+11	1253600893593109	0.000143135
52 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 3 	 2p*2 3p*1 2p3 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 94.77951 	 7.9402289E+03	6.2971459E+11	1253600893593109	0.000502325
53 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 2 	 2p*2 3p*1 2p3 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 77.58969 	 7.9407336E+03	1.5486429E+12	1253600893593109	0.00123536
54 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_3p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1  	 5 	 2 	 2p*2 3p*1 2p3 3p4 1s2 2s2 3s2 4s1 3d*4 3d6  	 72.17288 	 7.9409335E+03	6.9394675E+11	1253600893593109	0.000553563
