# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	1721	 K1L3	    3	     1		 ---> 	 M2M3	    1	     1		9.83005700996E+03 	3.53920E+09    	1.4636955109683198e-05
	1722	 K1L3	    3	     1		 ---> 	 M3M3	    3	     1		9.83163946348E+03 	1.91858E+10    	7.934609328191679e-05
	1723	 K1L3	    3	     1		 ---> 	 M3M3	    5	     1		9.83221868687E+03 	2.71308E+09    	1.1220397312663678e-05
	1724	 K1L3	    3	     1		 ---> 	 M1M5	    5	     3		9.85464392396E+03 	2.50064E+10    	0.00010341816067325438
	1725	 K1L3	    3	     1		 ---> 	 M1M5	    3	     3		9.85464872406E+03 	3.08846E+09    	1.2772844252388159e-05
	1726	 K1L3	    3	     1		 ---> 	 M1M4	    3	     2		9.85965250174E+03 	3.33636E+09    	1.3798076274226558e-05
	1727	 K1L3	    3	     1		 ---> 	 M1M5	    5	     2		9.85984040408E+03 	2.89691E+10    	0.00011980657105219358
	1728	 K1L3	    3	     1		 ---> 	 M1M4	    1	     1		9.86020715233E+03 	1.26235E+06    	5.220660116045599e-09
	1729	 K1L3	    3	     1		 ---> 	 M1M4	    3	     1		9.86026815069E+03 	7.56706E+06    	3.129484559569376e-08
	1730	 K1L3	    3	     1		 ---> 	 M1M5	    5	     1		9.86036391403E+03 	1.07379E+07    	4.4408386152878396e-08
	1731	 K1L3	    3	     1		 ---> 	 M1M5	    7	     1		9.86048687873E+03 	1.35584E+04    	5.6073036889446395e-11
	1732	 K1L3	    3	     1		 ---> 	 M1N1	    1	     1		9.86715290883E+03 	5.43637E+10    	0.00022483019792503517
	1733	 K1L3	    3	     1		 ---> 	 M2M5	    5	     7		9.89707666049E+03 	7.03046E+06    	2.9075646310020158e-08
	1734	 K1L3	    3	     1		 ---> 	 M2M5	    7	     4		9.89708620907E+03 	4.47554E+07    	1.850934620015584e-07
	1735	 K1L3	    3	     1		 ---> 	 M2M4	    3	     7		9.89816892612E+03 	8.17510E+06    	3.3809496981569594e-08
	1736	 K1L3	    3	     1		 ---> 	 M2M4	    1	     4		9.89818161698E+03 	8.52306E+06    	3.524854391306976e-08
	1737	 K1L3	    3	     1		 ---> 	 M2M5	    3	     6		9.90441422501E+03 	9.32610E+05    	3.856965049966559e-09
	1738	 K1L3	    3	     1		 ---> 	 M2M5	    5	     6		9.90486220431E+03 	9.55131E+06    	3.9501044221481756e-08
	1739	 K1L3	    3	     1		 ---> 	 M2M4	    3	     5		9.90522414298E+03 	1.16633E+07    	4.8235533038756796e-08
	1740	 K1L3	    3	     1		 ---> 	 M2M4	    1	     3		9.90537123268E+03 	7.83364E+06    	3.2397331890093434e-08
	1741	 K1L3	    3	     1		 ---> 	 M3M5	    5	     5		9.90582288799E+03 	9.99453E+06    	4.133405485770288e-08
	1742	 K1L3	    3	     1		 ---> 	 M3M5	    7	     3		9.90639028958E+03 	7.58737E+06    	3.1378841006599516e-08
	1743	 K1L3	    3	     1		 ---> 	 M3M4	    3	     4		9.90643607388E+03 	4.55690E+06    	1.8845824123902397e-08
	1744	 K1L3	    3	     1		 ---> 	 M3M4	    1	     2		9.90679233923E+03 	3.49326E+06    	1.4446962535728958e-08
	1745	 K1L3	    3	     1		 ---> 	 M3M4	    5	     4		9.90701325140E+03 	4.87422E+03    	2.015815419719712e-11
	1746	 K1L3	    3	     1		 ---> 	 M3M4	    3	     3		9.90742181433E+03 	3.80284E+03    	1.572728254105664e-11
	1747	 K1L3	    3	     1		 ---> 	 M3M4	    1	     1		9.90754181984E+03 	1.73272E+04    	7.16595413021312e-11
	1748	 K1L3	    3	     1		 ---> 	 M2M4	    5	     3		9.91007869368E+03 	7.75180E+04    	3.2058868845852797e-10
	1749	 K1L3	    3	     1		 ---> 	 M2M4	    3	     2		9.91037767944E+03 	3.29046E+06    	1.3608249126980158e-08
	1750	 K1L3	    3	     1		 ---> 	 M3M4	    5	     2		9.91169128329E+03 	1.31810E+07    	5.451223590097599e-08
	1751	 K1L3	    3	     1		 ---> 	 M3M4	    7	     2		9.91186702397E+03 	2.11807E+07    	8.759633676866719e-08
	1752	 K1L3	    3	     1		 ---> 	 M3M5	    3	     1		9.91211063098E+03 	7.62355E+06    	3.15284694638408e-08
	1753	 K1L3	    3	     1		 ---> 	 M3M4	    5	     1		9.91215090218E+03 	1.10641E+07    	4.5757440955313595e-08
	1754	 K1L3	    3	     1		 ---> 	 M3M5	    7	     1		9.91286521566E+03 	2.71710E+06    	1.12370226968016e-08
	1755	 K1L3	    3	     1		 ---> 	 M3M5	    9	     1		9.91333939900E+03 	4.00225E+03    	1.6551976036316e-11
	1756	 K1L3	    3	     1		 ---> 	 M2N1	    1	     1		9.91345654274E+03 	1.10444E+10    	4.5675968301702396e-05
	1757	 K1L3	    3	     1		 ---> 	 M3N1	    3	     1		9.91596993343E+03 	1.00697E+10    	4.16449329984112e-05
	1758	 K1L3	    3	     1		 ---> 	 M5M5	    1	     3		0                 	0.00000E+00    	0.0            
	1759	 K1L3	    3	     1		 ---> 	 M4M5	    7	     3		0                 	0.00000E+00    	0.0            
	1760	 K1L3	    3	     1		 ---> 	 M4M5	    9	     2		0                 	0.00000E+00    	0.0            
	1761	 K1L3	    3	     1		 ---> 	 M4M5	    1	     2		0                 	0.00000E+00    	0.0            
	1762	 K1L3	    3	     1		 ---> 	 M4M5	    3	     4		0                 	0.00000E+00    	0.0            
	1763	 K1L3	    3	     1		 ---> 	 M4M4	    1	     1		0                 	0.00000E+00    	0.0            
	1764	 K1L3	    3	     1		 ---> 	 M4M5	    3	     3		0                 	0.00000E+00    	0.0            
	1765	 K1L3	    3	     1		 ---> 	 M4M5	    5	     4		0                 	0.00000E+00    	0.0            
	1766	 K1L3	    3	     1		 ---> 	 M5M5	    3	     2		0                 	0.00000E+00    	0.0            
	1767	 K1L3	    3	     1		 ---> 	 M5M5	    5	     3		0                 	0.00000E+00    	0.0            
	1768	 K1L3	    3	     1		 ---> 	 M4M5	    5	     2		0                 	0.00000E+00    	0.0            
	1769	 K1L3	    3	     1		 ---> 	 M5M5	    7	     2		0                 	0.00000E+00    	0.0            
	1770	 K1L3	    3	     1		 ---> 	 M4M4	    3	     1		0                 	0.00000E+00    	0.0            
	1771	 K1L3	    3	     1		 ---> 	 M4M5	    5	     1		0                 	0.00000E+00    	0.0            
	1772	 K1L3	    3	     1		 ---> 	 M4M5	    7	     1		0                 	0.00000E+00    	0.0            
	1773	 K1L3	    3	     1		 ---> 	 M5M5	    9	     1		0                 	0.00000E+00    	0.0            
	1774	 K1L3	    3	     1		 ---> 	 M4N1	    3	     1		9.99154127469E+03 	1.43077E+11    	0.000591718926940592
	1775	 K1L3	    3	     1		 ---> 	 M5N1	    5	     1		9.99178988905E+03 	1.18806E+12    	0.00491342136290976
	1776	 K1L3	    5	     1		 ---> 	 K1M1	    1	     2		8.73107619513E+02 	1.47044E+05    	6.08125120690624e-10
	1777	 K1L3	    5	     1		 ---> 	 K1M1	    1	     1		8.74666563474E+02 	4.52944E+04    	1.8732258688970237e-10
	1778	 K1L3	    5	     1		 ---> 	 K1M1	    3	     1		8.74858833853E+02 	6.52723E+11    	0.002699445425536208
	1779	 K1L3	    5	     1		 ---> 	 K1M2	    3	     3		9.18765630949E+02 	1.56498E+08    	6.472237230886079e-07
	1780	 K1L3	    5	     1		 ---> 	 K1M2	    1	     3		9.18842829662E+02 	4.28037E+07    	1.7702187935927519e-07
	1781	 K1L3	    5	     1		 ---> 	 K1M2	    1	     2		9.19648070578E+02 	3.43914E+08    	1.4223140200021438e-06
	1782	 K1L3	    5	     1		 ---> 	 K1M3	    1	     1		9.21533239127E+02 	2.14083E+08    	8.853761473627679e-07
	1783	 K1L3	    5	     1		 ---> 	 K1M3	    3	     2		9.21852556167E+02 	4.31424E+08    	1.7842263000791039e-06
	1784	 K1L3	    5	     1		 ---> 	 K1M3	    3	     1		9.22285688046E+02 	6.09853E+08    	2.522149351408688e-06
	1785	 K1L3	    5	     1		 ---> 	 K1M3	    5	     1		9.23131908329E+02 	5.38716E+08    	2.2279503585183357e-06
	1786	 K1L3	    5	     1		 ---> 	 K1M4	    3	     3		1.00338754709E+03 	9.68861E+09    	4.006887139614256e-05
	1787	 K1L3	    5	     1		 ---> 	 K1M4	    5	     3		1.00346573915E+03 	1.54333E+11    	0.0006382700025267679
	1788	 K1L3	    5	     1		 ---> 	 K1M4	    5	     2		1.00358189972E+03 	2.28078E+11    	0.0009432548167682879
	1789	 K1L3	    5	     1		 ---> 	 K1M4	    3	     2		1.00370419554E+03 	5.19621E+10    	0.00021489797838632158
	1790	 K1L3	    5	     1		 ---> 	 K1M4	    1	     1		1.00382098925E+03 	5.50864E+05    	2.2781904496893437e-09
	1791	 K1L3	    5	     1		 ---> 	 K1M5	    3	     1		1.00397585241E+03 	1.88579E+11    	0.0007799000784439839
	1792	 K1L3	    5	     1		 ---> 	 K1M5	    5	     1		1.00409144607E+03 	1.95263E+12    	0.00807542881324048
	1793	 K1L3	    5	     1		 ---> 	 K1M5	    7	     1		1.00420116869E+03 	9.91824E+12    	0.04101854476917503
	1794	 K1L3	    5	     1		 ---> 	 K1N1	    1	     1		1.01279080773E+03 	1.73763E+04    	7.186260258600478e-11
	1795	 K1L3	    5	     1		 ---> 	 L1L1	    1	     1		7.74656298769E+03 	5.35861E+04    	2.2161430272462556e-10
	1796	 K1L3	    5	     1		 ---> 	 L1L2	    1	     3		7.87900912086E+03 	1.37377E+06    	5.6814562107339195e-09
	1797	 K1L3	    5	     1		 ---> 	 L1L2	    3	     3		7.87905703849E+03 	1.63194E+08    	6.74916153981024e-07
	1798	 K1L3	    5	     1		 ---> 	 L1L2	    1	     2		7.91054895430E+03 	5.27123E+06    	2.1800055629186076e-08
	1799	 K1L3	    5	     1		 ---> 	 L1L3	    1	     1		7.91987645706E+03 	1.14878E+06    	4.75097233581088e-09
	1800	 K1L3	    5	     1		 ---> 	 L1L3	    3	     2		7.91996302069E+03 	2.16223E+08    	8.942264762322079e-07
	1801	 K1L3	    5	     1		 ---> 	 L1L3	    3	     1		7.93118664658E+03 	3.46580E+07    	1.43333971007968e-07
	1802	 K1L3	    5	     1		 ---> 	 L1L3	    5	     1		7.93139471953E+03 	4.66042E+08    	1.927394844379232e-06
	1803	 K1L3	    5	     1		 ---> 	 L2L2	    1	     3		8.02064181127E+03 	9.56862E+08    	3.957263262929952e-06
	1804	 K1L3	    5	     1		 ---> 	 L2L3	    3	     3		8.04971370861E+03 	4.16979E+12    	0.01724486580210384
	1805	 K1L3	    5	     1		 ---> 	 L2L3	    5	     2		8.04974581041E+03 	6.00395E+13    	0.24830342063399197
	1806	 K1L3	    5	     1		 ---> 	 L2L3	    1	     2		8.06018155956E+03 	2.43795E+06    	1.00825510594632e-08
	1807	 K1L3	    5	     1		 ---> 	 L2L3	    3	     2		8.06031761598E+03 	1.59174E+14    	0.658290769843104
	1808	 K1L3	    5	     1		 ---> 	 L3L3	    1	     1		8.06501476305E+03 	4.84827E+09    	2.0050833620485916e-05
	1809	 K1L3	    5	     1		 ---> 	 L3L3	    3	     1		8.07818182483E+03 	2.77485E+13    	0.11475857506245599
	1810	 K1L3	    5	     1		 ---> 	 L3L3	    5	     1		8.07837651508E+03 	3.80448E+14    	1.5734065036078078
	1811	 K1L3	    5	     1		 ---> 	 L1M1	    1	     2		8.75754074703E+03 	7.33045E+04    	3.03163052621432e-10
	1812	 K1L3	    5	     1		 ---> 	 L1M1	    1	     1		8.75858608166E+03 	1.19881E+04    	4.9578797906417596e-11
	1813	 K1L3	    5	     1		 ---> 	 L1M1	    3	     1		8.75878259994E+03 	1.52341E+09    	6.30031752476336e-06
	1814	 K1L3	    5	     1		 ---> 	 L1M2	    3	     3		8.80181134444E+03 	8.32549E+06    	3.443146004637104e-08
	1815	 K1L3	    5	     1		 ---> 	 L1M2	    1	     3		8.80187788003E+03 	1.57220E+06    	6.502096751651199e-09
	1816	 K1L3	    5	     1		 ---> 	 L1M2	    1	     2		8.80270426457E+03 	1.32832E+07    	5.4934901139507193e-08
	1817	 K1L3	    5	     1		 ---> 	 L1M3	    1	     1		8.80439075717E+03 	7.72533E+06    	3.1949397721939675e-08
	1818	 K1L3	    5	     1		 ---> 	 L1M3	    3	     2		8.80467629043E+03 	1.27411E+07    	5.269295568150559e-08
	1819	 K1L3	    5	     1		 ---> 	 L1M3	    3	     1		8.80506116371E+03 	2.10523E+07    	8.706531703650078e-08
	1820	 K1L3	    5	     1		 ---> 	 L1M3	    5	     1		8.80570997169E+03 	1.80262E+07    	7.455037302163519e-08
	1821	 K1L3	    5	     1		 ---> 	 L1M5	    5	     3		8.88095588900E+03 	5.47719E+06    	2.2651837747854238e-08
	1822	 K1L3	    5	     1		 ---> 	 L1M5	    3	     3		8.88097496479E+03 	4.07662E+05    	1.6859545642867519e-09
	1823	 K1L3	    5	     1		 ---> 	 L1M4	    3	     2		8.88295118928E+03 	2.48147E+06    	1.0262535317593119e-08
	1824	 K1L3	    5	     1		 ---> 	 L1M5	    5	     2		8.88319796748E+03 	3.49094E+07    	1.4437367786674238e-07
	1825	 K1L3	    5	     1		 ---> 	 L1M4	    1	     1		8.88343678221E+03 	1.04998E+06    	4.34236836744608e-09
	1826	 K1L3	    5	     1		 ---> 	 L1M4	    3	     1		8.88352370906E+03 	1.28022E+08    	5.294564497773119e-07
	1827	 K1L3	    5	     1		 ---> 	 L1M5	    5	     1		8.88364796848E+03 	1.10851E+09    	4.58442899769296e-06
	1828	 K1L3	    5	     1		 ---> 	 L1M5	    7	     1		8.88379138654E+03 	4.86014E+09    	2.0099923996037437e-05
	1829	 K1L3	    5	     1		 ---> 	 L1N1	    1	     1		8.89270370248E+03 	1.01921E+03    	4.21511387244016e-12
	1830	 K1L3	    5	     1		 ---> 	 L2M1	    1	     3		8.90268001538E+03 	2.87326E+03    	1.188284856420896e-11
	1831	 K1L3	    5	     1		 ---> 	 L2M1	    3	     3		8.90285841990E+03 	2.95657E+05    	1.2227391039962719e-09
	1832	 K1L3	    5	     1		 ---> 	 L2M1	    1	     2		8.90380670510E+03 	1.98986E+06    	8.22939972156256e-09
	1833	 K1L3	    5	     1		 ---> 	 L3M1	    3	     2		8.92210625122E+03 	7.20677E+07    	2.9804805881501917e-07
	1834	 K1L3	    5	     1		 ---> 	 L3M1	    1	     1		8.92217308821E+03 	5.77985E+04    	2.39035389327256e-10
	1835	 K1L3	    5	     1		 ---> 	 L3M1	    3	     1		8.92381597246E+03 	6.50187E+06    	2.6889573722591516e-08
	1836	 K1L3	    5	     1		 ---> 	 L3M1	    5	     1		8.92397414101E+03 	1.04359E+08    	4.3159414508686393e-07
	1837	 K1L3	    5	     1		 ---> 	 L2M2	    1	     6		8.94491273615E+03 	1.59011E+07    	6.576166560086559e-08
	1838	 K1L3	    5	     1		 ---> 	 L2M3	    3	     7		8.95063749745E+03 	1.62453E+10    	6.71851624218288e-05
	1839	 K1L3	    5	     1		 ---> 	 L2M3	    5	     4		8.95093188373E+03 	4.25703E+11    	0.0017605661451902878
	1840	 K1L3	    5	     1		 ---> 	 L2M3	    1	     5		8.95164368030E+03 	2.36726E+05    	9.79020071003296e-10
	1841	 K1L3	    5	     1		 ---> 	 L2M3	    3	     6		8.95201393215E+03 	3.24913E+11    	0.0013437321981104478
	1842	 K1L3	    5	     1		 ---> 	 L2M2	    3	     4		8.95249706830E+03 	5.13864E+09    	2.1251707449373436e-05
	1843	 K1L3	    5	     1		 ---> 	 L2M2	    3	     5		8.95251025519E+03 	5.68281E+09    	2.350221373950576e-05
	1844	 K1L3	    5	     1		 ---> 	 L2M2	    1	     4		8.95268064495E+03 	2.11316E+05    	8.739327548479359e-10
	1845	 K1L3	    5	     1		 ---> 	 L3M2	    5	     3		8.96891709563E+03 	9.28608E+10    	0.00038404141078471674
	1846	 K1L3	    5	     1		 ---> 	 L3M2	    1	     2		8.96931600333E+03 	7.91232E+06    	3.2722726224414716e-08
	1847	 K1L3	    5	     1		 ---> 	 L3M2	    3	     3		8.96955611745E+03 	1.79373E+13    	0.0741827121634608
	1848	 K1L3	    5	     1		 ---> 	 L3M2	    3	     2		8.97006082874E+03 	1.08518E+13    	0.0448794387034528
	1849	 K1L3	    5	     1		 ---> 	 L3M2	    5	     2		8.97026079456E+03 	4.17722E+13    	0.1727559381308512
	1850	 K1L3	    5	     1		 ---> 	 L3M3	    1	     3		8.97271853164E+03 	3.92662E+07    	1.6239195488467518e-07
	1851	 K1L3	    5	     1		 ---> 	 L3M3	    5	     1		8.97488250103E+03 	3.27792E+12    	0.013556387854072318
	1852	 K1L3	    5	     1		 ---> 	 L3M3	    7	     1		8.97528260409E+03 	5.50755E+13    	0.22777396619104798
	1853	 K1L3	    5	     1		 ---> 	 L3M3	    1	     1		8.97532206174E+03 	2.64891E+08    	1.0955011516611359e-06
	1854	 K1L3	    5	     1		 ---> 	 L3M3	    3	     1		8.97538311766E+03 	1.29886E+12    	0.005371653343626559
	1855	 K1L3	    5	     1		 ---> 	 L2M4	    3	     7		9.02858804234E+03 	3.00746E+06    	1.2437855169012159e-08
	1856	 K1L3	    5	     1		 ---> 	 L2M4	    1	     4		9.02878541844E+03 	1.11287E+06    	4.60246050884752e-09
	1857	 K1L3	    5	     1		 ---> 	 L2M5	    5	     7		9.02944793142E+03 	3.54548E+06    	1.4662927102814079e-08
	1858	 K1L3	    5	     1		 ---> 	 L2M5	    7	     4		9.02971670099E+03 	2.58092E+07    	1.0673827469960318e-07
	1859	 K1L3	    5	     1		 ---> 	 L2M5	    3	     6		9.03017936011E+03 	2.86123E+06    	1.183309648182608e-08
	1860	 K1L3	    5	     1		 ---> 	 L2M5	    5	     6		9.03047875201E+03 	6.19293E+06    	2.5611900544589278e-08
	1861	 K1L3	    5	     1		 ---> 	 L2M4	    5	     5		9.03168042735E+03 	1.36443E+07    	5.6428290744532796e-08
	1862	 K1L3	    5	     1		 ---> 	 L2M4	    3	     5		9.03188523712E+03 	2.79129E+06    	1.154384788316784e-08
	1863	 K1L3	    5	     1		 ---> 	 L2N1	    1	     1		0                 	0.00000E+00    	0.0            
	1864	 K1L3	    5	     1		 ---> 	 L3M5	    1	     3		9.04790797469E+03 	1.04889E+07    	4.3378604896574396e-08
	1865	 K1L3	    5	     1		 ---> 	 L3M5	    3	     4		9.04803433146E+03 	9.24509E+07    	3.8234620059612634e-07
	1866	 K1L3	    5	     1		 ---> 	 L3M5	    5	     4		9.04834738099E+03 	3.53357E+07    	1.461367130055472e-07
	1867	 K1L3	    5	     1		 ---> 	 L3M4	    7	     3		9.04835057484E+03 	3.00867E+08    	1.244285932692432e-06
	1868	 K1L3	    5	     1		 ---> 	 L3M4	    1	     2		9.04913602461E+03 	2.38594E+09    	9.867454982594239e-06
	1869	 K1L3	    5	     1		 ---> 	 L3M4	    3	     3		9.04948736839E+03 	6.34678E+09    	2.624817301961888e-05
	1870	 K1L3	    5	     1		 ---> 	 L3M4	    1	     1		9.04960333942E+03 	7.71525E+09    	3.1907710191563996e-05
	1871	 K1L3	    5	     1		 ---> 	 L3M4	    3	     2		9.05006653973E+03 	1.35461E+10    	5.6022168176785594e-05
	1872	 K1L3	    5	     1		 ---> 	 L3M4	    5	     3		9.05019690455E+03 	1.84831E+10    	7.643995959193759e-05
	1873	 K1L3	    5	     1		 ---> 	 L3M4	    5	     2		9.05095019451E+03 	1.02157E+10    	4.2248740482027196e-05
	1874	 K1L3	    5	     1		 ---> 	 L3M5	    7	     2		9.05117287453E+03 	2.97180E+10    	0.00012290377258972798
	1875	 K1L3	    5	     1		 ---> 	 L3M5	    7	     1		9.05202806428E+03 	8.45732E+09    	3.497666511873472e-05
	1876	 K1L3	    5	     1		 ---> 	 L3M5	    5	     1		9.05208081465E+03 	7.83394E+08    	3.2398572590402236e-06
	1877	 K1L3	    5	     1		 ---> 	 L3M5	    3	     1		9.05212417209E+03 	1.32737E+08    	5.489561229639519e-07
	1878	 K1L3	    5	     1		 ---> 	 L3M5	    9	     1		9.05237906211E+03 	4.70945E+10    	0.00019476720230927197
	1879	 K1L3	    5	     1		 ---> 	 L3N1	    3	     1		9.06014457009E+03 	8.70304E+06    	3.599288138499584e-08
	1880	 K1L3	    5	     1		 ---> 	 M1M1	    1	     1		9.73038868034E+03 	2.16290E+02    	8.945035659678398e-13
	1881	 K1L3	    5	     1		 ---> 	 M1M3	    3	     3		9.77115113783E+03 	3.08341E+04    	1.2751959130523357e-10
	1882	 K1L3	    5	     1		 ---> 	 M1M3	    1	     3		9.77131092878E+03 	4.11121E+03    	1.700259838847216e-11
	1883	 K1L3	    5	     1		 ---> 	 M1M2	    1	     2		9.78483932604E+03 	6.90265E+04    	2.8547066621794395e-10
	1884	 K1L3	    5	     1		 ---> 	 M1M2	    1	     1		9.78573521693E+03 	1.21014E+05    	5.00473690563744e-10
	1885	 K1L3	    5	     1		 ---> 	 M1M2	    3	     2		9.78592329306E+03 	1.99506E+05    	8.250905193581759e-10
	1886	 K1L3	    5	     1		 ---> 	 M1M3	    3	     1		9.78722425972E+03 	7.36996E+04    	3.047970549281216e-10
	1887	 K1L3	    5	     1		 ---> 	 M1M3	    5	     1		9.78765724135E+03 	1.84838E+05    	7.644285455932479e-10
	1888	 K1L3	    5	     1		 ---> 	 M2M2	    1	     3		9.81984430721E+03 	2.39123E+05    	9.889332664706078e-10
	1889	 K1L3	    5	     1		 ---> 	 M2M3	    3	     3		9.82621886012E+03 	8.28923E+07    	3.4281500735714074e-07
	1890	 K1L3	    5	     1		 ---> 	 M2M3	    5	     2		9.82625940644E+03 	1.37000E+09    	5.665864743519999e-06
	1891	 K1L3	    5	     1		 ---> 	 M2M3	    1	     2		9.82912644556E+03 	1.40027E+05    	5.79105140467792e-10
	1892	 K1L3	    5	     1		 ---> 	 M2M3	    3	     2		9.82977644381E+03 	7.47816E+09    	3.092718473751935e-05
	1893	 K1L3	    5	     1		 ---> 	 M2M3	    1	     1		9.82983624696E+03 	1.61943E+05    	6.697424336933279e-10
	1894	 K1L3	    5	     1		 ---> 	 M3M3	    3	     1		9.83141870049E+03 	3.14417E+09    	1.3003242299732318e-05
	1895	 K1L3	    5	     1		 ---> 	 M3M3	    5	     1		9.83199792387E+03 	2.38878E+10    	9.879200278850879e-05
	1896	 K1L3	    5	     1		 ---> 	 M1M5	    5	     3		9.85442316096E+03 	4.35153E+04    	1.799648204917488e-10
	1897	 K1L3	    5	     1		 ---> 	 M1M5	    3	     3		9.85442796106E+03 	3.32736E+03    	1.3760855264962559e-11
	1898	 K1L3	    5	     1		 ---> 	 M1M4	    3	     2		9.85943173874E+03 	3.20190E+04    	1.3241994395822398e-10
	1899	 K1L3	    5	     1		 ---> 	 M1M5	    5	     2		9.85961964108E+03 	5.27198E+05    	2.1803157379958078e-09
	1900	 K1L3	    5	     1		 ---> 	 M1M4	    1	     1		9.85998638934E+03 	3.37198E+04    	1.394538875755808e-10
	1901	 K1L3	    5	     1		 ---> 	 M1M4	    3	     1		9.86004738770E+03 	3.41398E+06    	1.4119086800790078e-08
	1902	 K1L3	    5	     1		 ---> 	 M1M5	    5	     1		9.86014315103E+03 	2.95025E+07    	1.2201253620124e-07
	1903	 K1L3	    5	     1		 ---> 	 M1M5	    7	     1		9.86026611573E+03 	1.27260E+08    	5.263050709929599e-07
	1904	 K1L3	    5	     1		 ---> 	 M1N1	    1	     1		9.86693214583E+03 	2.81362E+01    	1.1636197342819518e-13
	1905	 K1L3	    5	     1		 ---> 	 M2M5	    5	     7		9.89685589750E+03 	9.11748E+03    	3.7706867504926076e-11
	1906	 K1L3	    5	     1		 ---> 	 M2M5	    7	     4		9.89686544607E+03 	5.56071E+04    	2.2997248713824158e-10
	1907	 K1L3	    5	     1		 ---> 	 M2M4	    3	     7		9.89794816312E+03 	3.66441E+02    	1.5154782061899358e-12
	1908	 K1L3	    5	     1		 ---> 	 M2M4	    1	     4		9.89796085398E+03 	2.82097E+02    	1.1666594500385118e-12
	1909	 K1L3	    5	     1		 ---> 	 M2M5	    3	     6		9.90419346201E+03 	2.20076E+04    	9.101612038648959e-11
	1910	 K1L3	    5	     1		 ---> 	 M2M5	    5	     6		9.90464144131E+03 	5.89757E+05    	2.439038973389872e-09
	1911	 K1L3	    5	     1		 ---> 	 M2M4	    3	     5		9.90500337999E+03 	4.91413E+05    	2.0323208694944477e-09
	1912	 K1L3	    5	     1		 ---> 	 M2M4	    1	     3		9.90515046968E+03 	1.01769E+05    	4.2088276575422397e-10
	1913	 K1L3	    5	     1		 ---> 	 M3M5	    5	     5		9.90560212499E+03 	1.28615E+06    	5.319089007210399e-09
	1914	 K1L3	    5	     1		 ---> 	 M3M5	    7	     3		9.90616952658E+03 	1.14000E+07    	4.7146611734399995e-08
	1915	 K1L3	    5	     1		 ---> 	 M3M4	    3	     4		9.90621531088E+03 	7.39435E+05    	3.0580574427917596e-09
	1916	 K1L3	    5	     1		 ---> 	 M3M4	    1	     2		9.90657157623E+03 	5.94978E+04    	2.4606312944306877e-10
	1917	 K1L3	    5	     1		 ---> 	 M3M4	    5	     4		9.90679248840E+03 	1.10955E+07    	4.5887300920967994e-08
	1918	 K1L3	    5	     1		 ---> 	 M3M4	    3	     3		9.90720105133E+03 	8.93390E+06    	3.6947641629294396e-08
	1919	 K1L3	    5	     1		 ---> 	 M3M4	    1	     1		9.90732105684E+03 	5.09342E+06    	2.106469255616032e-08
	1920	 K1L3	    5	     1		 ---> 	 M2M4	    5	     3		9.90985793068E+03 	1.24352E+06    	5.1427854933299195e-09
	1921	 K1L3	    5	     1		 ---> 	 M2M4	    3	     2		9.91015691645E+03 	3.83246E+05    	1.5849781018212158e-09
	1922	 K1L3	    5	     1		 ---> 	 M3M4	    5	     2		9.91147052029E+03 	4.23937E+05    	1.7532625560391518e-09
	1923	 K1L3	    5	     1		 ---> 	 M3M4	    7	     2		9.91164626098E+03 	4.09097E+06    	1.6918892474305118e-08
	1924	 K1L3	    5	     1		 ---> 	 M3M5	    3	     1		9.91188986799E+03 	9.97245E+04    	4.1242739314975193e-10
	1925	 K1L3	    5	     1		 ---> 	 M3M4	    5	     1		9.91193013918E+03 	1.45916E+06    	6.034600875295359e-09
	1926	 K1L3	    5	     1		 ---> 	 M3M5	    7	     1		9.91264445267E+03 	4.46715E+06    	1.8474647948186398e-08
	1927	 K1L3	    5	     1		 ---> 	 M3M5	    9	     1		9.91311863601E+03 	1.96866E+07    	8.141723566407359e-08
	1928	 K1L3	    5	     1		 ---> 	 M2N1	    1	     1		0                 	0.00000E+00    	0.0            
	1929	 K1L3	    5	     1		 ---> 	 M3N1	    3	     1		9.91574917043E+03 	2.79483E+03    	1.1558488146811679e-11
	1930	 K1L3	    5	     1		 ---> 	 M5M5	    1	     3		0                 	0.00000E+00    	0.0            
	1931	 K1L3	    5	     1		 ---> 	 M4M5	    7	     3		0                 	0.00000E+00    	0.0            
	1932	 K1L3	    5	     1		 ---> 	 M4M5	    9	     2		0                 	0.00000E+00    	0.0            
	1933	 K1L3	    5	     1		 ---> 	 M4M5	    1	     2		0                 	0.00000E+00    	0.0            
	1934	 K1L3	    5	     1		 ---> 	 M4M5	    3	     4		0                 	0.00000E+00    	0.0            
	1935	 K1L3	    5	     1		 ---> 	 M4M4	    1	     1		0                 	0.00000E+00    	0.0            
	1936	 K1L3	    5	     1		 ---> 	 M4M5	    3	     3		0                 	0.00000E+00    	0.0            
	1937	 K1L3	    5	     1		 ---> 	 M4M5	    5	     4		0                 	0.00000E+00    	0.0            
	1938	 K1L3	    5	     1		 ---> 	 M5M5	    3	     2		0                 	0.00000E+00    	0.0            
	1939	 K1L3	    5	     1		 ---> 	 M5M5	    5	     3		0                 	0.00000E+00    	0.0            
