# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	50 	 K1K1	    1	     1		 ---> 	 L1M2	    1	     3		1.71647003730E+04 	2.31497E+10    	9.573946646209119e-05
	51 	 K1K1	    1	     1		 ---> 	 L1M2	    1	     2		1.71655267575E+04 	8.48618E+09    	3.509602048844128e-05
	52 	 K1K1	    1	     1		 ---> 	 L1M3	    1	     1		1.71672132501E+04 	1.20467E+10    	4.982114803340319e-05
	53 	 K1K1	    1	     1		 ---> 	 L1M3	    3	     2		1.71674987834E+04 	2.19141E+10    	9.062943545691359e-05
	54 	 K1K1	    1	     1		 ---> 	 L1M3	    3	     1		1.71678836566E+04 	1.19231E+10    	4.9309979506177595e-05
	55 	 K1K1	    1	     1		 ---> 	 L1M3	    5	     1		1.71685324646E+04 	8.76810E+06    	3.62619479252976e-08
	56 	 K1K1	    1	     1		 ---> 	 L1M5	    5	     3		1.72437783819E+04 	2.89099E+08    	1.195617395245904e-06
	57 	 K1K1	    1	     1		 ---> 	 L1M5	    3	     3		1.72437974577E+04 	1.93826E+08    	8.015999268448959e-07
	58 	 K1K1	    1	     1		 ---> 	 L1M4	    3	     2		1.72457736822E+04 	5.09143E+04    	2.1056462577445278e-10
	59 	 K1K1	    1	     1		 ---> 	 L1M5	    5	     2		1.72460204604E+04 	1.87655E+06    	7.7607872149288e-09
	60 	 K1K1	    1	     1		 ---> 	 L1M4	    1	     1		1.72462592752E+04 	2.20683E+03    	9.12671554156368e-12
	61 	 K1K1	    1	     1		 ---> 	 L1M4	    3	     1		1.72463462020E+04 	2.45583E+05    	1.0156496797867679e-09
	62 	 K1K1	    1	     1		 ---> 	 L1M5	    5	     1		1.72464704614E+04 	3.86092E+05    	1.596748212084032e-09
	63 	 K1K1	    1	     1		 ---> 	 L1M5	    7	     1		1.72466138795E+04 	4.18963E+04    	1.732691744919248e-10
	64 	 K1K1	    1	     1		 ---> 	 L1N1	    1	     1		1.72555261954E+04 	3.41047E+03    	1.4104570607177117e-11
	65 	 K1K1	    1	     1		 ---> 	 L2M1	    1	     3		1.72655025083E+04 	1.32266E+10    	5.4700822347913596e-05
	66 	 K1K1	    1	     1		 ---> 	 L2M1	    3	     3		1.72656809128E+04 	2.55188E+10    	0.00010553727680068479
	67 	 K1K1	    1	     1		 ---> 	 L2M1	    1	     2		1.72666291980E+04 	7.39534E+07    	3.058466873893664e-07
	68 	 K1K1	    1	     1		 ---> 	 L3M1	    3	     2		1.72849287442E+04 	4.02903E+10    	0.00016662729217214878
	69 	 K1K1	    1	     1		 ---> 	 L3M1	    1	     1		1.72849955811E+04 	2.03969E+10    	8.435480042854239e-05
	70 	 K1K1	    1	     1		 ---> 	 L3M1	    3	     1		1.72866384654E+04 	6.51003E+07    	2.6923320770990876e-07
	71 	 K1K1	    1	     1		 ---> 	 L3M1	    5	     1		1.72867966340E+04 	6.88180E+06    	2.8460837950332798e-08
	72 	 K1K1	    1	     1		 ---> 	 L2M2	    1	     6		0                 	0.00000E+00    	0.0            
	73 	 K1K1	    1	     1		 ---> 	 L2M3	    3	     7		0                 	0.00000E+00    	0.0            
	74 	 K1K1	    1	     1		 ---> 	 L2M3	    5	     4		0                 	0.00000E+00    	0.0            
	75 	 K1K1	    1	     1		 ---> 	 L2M3	    1	     5		0                 	0.00000E+00    	0.0            
	76 	 K1K1	    1	     1		 ---> 	 L2M3	    3	     6		0                 	0.00000E+00    	0.0            
	77 	 K1K1	    1	     1		 ---> 	 L2M2	    3	     4		0                 	0.00000E+00    	0.0            
	78 	 K1K1	    1	     1		 ---> 	 L2M2	    3	     5		0                 	0.00000E+00    	0.0            
	79 	 K1K1	    1	     1		 ---> 	 L2M2	    1	     4		0                 	0.00000E+00    	0.0            
	80 	 K1K1	    1	     1		 ---> 	 L3M2	    5	     3		0                 	0.00000E+00    	0.0            
	81 	 K1K1	    1	     1		 ---> 	 L3M2	    1	     2		0                 	0.00000E+00    	0.0            
	82 	 K1K1	    1	     1		 ---> 	 L3M2	    3	     3		0                 	0.00000E+00    	0.0            
	83 	 K1K1	    1	     1		 ---> 	 L3M2	    3	     2		0                 	0.00000E+00    	0.0            
	84 	 K1K1	    1	     1		 ---> 	 L3M2	    5	     2		0                 	0.00000E+00    	0.0            
	85 	 K1K1	    1	     1		 ---> 	 L3M3	    1	     3		0                 	0.00000E+00    	0.0            
	86 	 K1K1	    1	     1		 ---> 	 L3M3	    5	     1		0                 	0.00000E+00    	0.0            
	87 	 K1K1	    1	     1		 ---> 	 L3M3	    7	     1		0                 	0.00000E+00    	0.0            
	88 	 K1K1	    1	     1		 ---> 	 L3M3	    1	     1		0                 	0.00000E+00    	0.0            
	89 	 K1K1	    1	     1		 ---> 	 L3M3	    3	     1		0                 	0.00000E+00    	0.0            
	90 	 K1K1	    1	     1		 ---> 	 L2M4	    3	     7		0                 	0.00000E+00    	0.0            
	91 	 K1K1	    1	     1		 ---> 	 L2M4	    1	     4		0                 	0.00000E+00    	0.0            
	92 	 K1K1	    1	     1		 ---> 	 L2M5	    5	     7		0                 	0.00000E+00    	0.0            
	93 	 K1K1	    1	     1		 ---> 	 L2M5	    7	     4		0                 	0.00000E+00    	0.0            
	94 	 K1K1	    1	     1		 ---> 	 L2M5	    3	     6		0                 	0.00000E+00    	0.0            
	95 	 K1K1	    1	     1		 ---> 	 L2M5	    5	     6		0                 	0.00000E+00    	0.0            
	96 	 K1K1	    1	     1		 ---> 	 L2M4	    5	     5		0                 	0.00000E+00    	0.0            
	97 	 K1K1	    1	     1		 ---> 	 L2M4	    3	     5		0                 	0.00000E+00    	0.0            
	98 	 K1K1	    1	     1		 ---> 	 L2N1	    1	     1		1.74028995732E+04 	1.23264E+09    	5.097789428797439e-06
	99 	 K1K1	    1	     1		 ---> 	 L3M5	    1	     3		0                 	0.00000E+00    	0.0            
	100	 K1K1	    1	     1		 ---> 	 L3M5	    3	     4		0                 	0.00000E+00    	0.0            
	101	 K1K1	    1	     1		 ---> 	 L3M5	    5	     4		0                 	0.00000E+00    	0.0            
	102	 K1K1	    1	     1		 ---> 	 L3M4	    7	     3		0                 	0.00000E+00    	0.0            
	103	 K1K1	    1	     1		 ---> 	 L3M4	    1	     2		0                 	0.00000E+00    	0.0            
	104	 K1K1	    1	     1		 ---> 	 L3M4	    3	     3		0                 	0.00000E+00    	0.0            
	105	 K1K1	    1	     1		 ---> 	 L3M4	    1	     1		0                 	0.00000E+00    	0.0            
	106	 K1K1	    1	     1		 ---> 	 L3M4	    3	     2		0                 	0.00000E+00    	0.0            
	107	 K1K1	    1	     1		 ---> 	 L3M4	    5	     3		0                 	0.00000E+00    	0.0            
	108	 K1K1	    1	     1		 ---> 	 L3M4	    5	     2		0                 	0.00000E+00    	0.0            
	109	 K1K1	    1	     1		 ---> 	 L3M5	    7	     2		0                 	0.00000E+00    	0.0            
	110	 K1K1	    1	     1		 ---> 	 L3M5	    7	     1		0                 	0.00000E+00    	0.0            
	111	 K1K1	    1	     1		 ---> 	 L3M5	    5	     1		0                 	0.00000E+00    	0.0            
	112	 K1K1	    1	     1		 ---> 	 L3M5	    3	     1		0                 	0.00000E+00    	0.0            
	113	 K1K1	    1	     1		 ---> 	 L3M5	    9	     1		0                 	0.00000E+00    	0.0            
	114	 K1K1	    1	     1		 ---> 	 L3N1	    3	     1		1.74229670630E+04 	2.36101E+09    	9.764352786932959e-06
	115	 K1K1	    1	     1		 ---> 	 M1M1	    1	     1		1.80932111733E+04 	5.19592E-01    	2.148859849500032e-15
	116	 K1K1	    1	     1		 ---> 	 M1M3	    3	     3		1.81339736308E+04 	9.40720E+09    	3.890505314981119e-05
	117	 K1K1	    1	     1		 ---> 	 M1M3	    1	     3		1.81341334217E+04 	5.15925E+09    	2.1336943560587997e-05
	118	 K1K1	    1	     1		 ---> 	 M1M2	    1	     2		1.81476618190E+04 	9.82748E+04    	4.0643191569086074e-10
	119	 K1K1	    1	     1		 ---> 	 M1M2	    1	     1		1.81485577099E+04 	1.47192E+07    	6.08737199509632e-08
	120	 K1K1	    1	     1		 ---> 	 M1M2	    3	     2		1.81487457860E+04 	6.60489E+07    	2.731563020863344e-07
	121	 K1K1	    1	     1		 ---> 	 M1M3	    3	     1		1.81500467527E+04 	1.56779E+06    	6.483858457111839e-09
	122	 K1K1	    1	     1		 ---> 	 M1M3	    5	     1		1.81504797343E+04 	1.30079E+06    	5.3796351822798395e-09
	123	 K1K1	    1	     1		 ---> 	 M2M2	    1	     3		0                 	0.00000E+00    	0.0            
	124	 K1K1	    1	     1		 ---> 	 M2M3	    3	     3		0                 	0.00000E+00    	0.0            
	125	 K1K1	    1	     1		 ---> 	 M2M3	    5	     2		0                 	0.00000E+00    	0.0            
	126	 K1K1	    1	     1		 ---> 	 M2M3	    1	     2		0                 	0.00000E+00    	0.0            
	127	 K1K1	    1	     1		 ---> 	 M2M3	    3	     2		0                 	0.00000E+00    	0.0            
	128	 K1K1	    1	     1		 ---> 	 M2M3	    1	     1		0                 	0.00000E+00    	0.0            
	129	 K1K1	    1	     1		 ---> 	 M3M3	    3	     1		0                 	0.00000E+00    	0.0            
	130	 K1K1	    1	     1		 ---> 	 M3M3	    5	     1		0                 	0.00000E+00    	0.0            
	131	 K1K1	    1	     1		 ---> 	 M1M5	    5	     3		1.82172456539E+04 	3.93126E+07    	1.6258384986576958e-07
	132	 K1K1	    1	     1		 ---> 	 M1M5	    3	     3		1.82172504540E+04 	2.62576E+07    	1.085927080944896e-07
	133	 K1K1	    1	     1		 ---> 	 M1M4	    3	     2		1.82222542317E+04 	1.72654E+04    	7.14039570385184e-11
	134	 K1K1	    1	     1		 ---> 	 M1M5	    5	     2		1.82224421340E+04 	6.03027E+04    	2.493919283715792e-10
	135	 K1K1	    1	     1		 ---> 	 M1M4	    1	     1		1.82228088823E+04 	3.56915E+02    	1.47608183571784e-12
	136	 K1K1	    1	     1		 ---> 	 M1M4	    3	     1		1.82228698806E+04 	2.17936E+03    	9.01310874995456e-12
	137	 K1K1	    1	     1		 ---> 	 M1M5	    5	     1		1.82229656440E+04 	5.00319E+03    	2.0691531259950235e-11
	138	 K1K1	    1	     1		 ---> 	 M1M5	    7	     1		1.82230886087E+04 	6.20461E+03    	2.5660205143278556e-11
	139	 K1K1	    1	     1		 ---> 	 M1N1	    1	     1		1.82297546388E+04 	8.35938E-01    	3.4571617824588475e-15
	140	 K1K1	    1	     1		 ---> 	 M2M5	    5	     7		0                 	0.00000E+00    	0.0            
	141	 K1K1	    1	     1		 ---> 	 M2M5	    7	     4		0                 	0.00000E+00    	0.0            
	142	 K1K1	    1	     1		 ---> 	 M2M4	    3	     7		0                 	0.00000E+00    	0.0            
	143	 K1K1	    1	     1		 ---> 	 M2M4	    1	     4		0                 	0.00000E+00    	0.0            
	144	 K1K1	    1	     1		 ---> 	 M2M5	    3	     6		0                 	0.00000E+00    	0.0            
	145	 K1K1	    1	     1		 ---> 	 M2M5	    5	     6		0                 	0.00000E+00    	0.0            
	146	 K1K1	    1	     1		 ---> 	 M2M4	    3	     5		0                 	0.00000E+00    	0.0            
	147	 K1K1	    1	     1		 ---> 	 M2M4	    1	     3		0                 	0.00000E+00    	0.0            
	148	 K1K1	    1	     1		 ---> 	 M3M5	    5	     5		0                 	0.00000E+00    	0.0            
	149	 K1K1	    1	     1		 ---> 	 M3M5	    7	     3		0                 	0.00000E+00    	0.0            
	150	 K1K1	    1	     1		 ---> 	 M3M4	    3	     4		0                 	0.00000E+00    	0.0            
	151	 K1K1	    1	     1		 ---> 	 M3M4	    1	     2		0                 	0.00000E+00    	0.0            
	152	 K1K1	    1	     1		 ---> 	 M3M4	    5	     4		0                 	0.00000E+00    	0.0            
	153	 K1K1	    1	     1		 ---> 	 M3M4	    3	     3		0                 	0.00000E+00    	0.0            
	154	 K1K1	    1	     1		 ---> 	 M3M4	    1	     1		0                 	0.00000E+00    	0.0            
	155	 K1K1	    1	     1		 ---> 	 M2M4	    5	     3		0                 	0.00000E+00    	0.0            
	156	 K1K1	    1	     1		 ---> 	 M2M4	    3	     2		0                 	0.00000E+00    	0.0            
	157	 K1K1	    1	     1		 ---> 	 M3M4	    5	     2		0                 	0.00000E+00    	0.0            
	158	 K1K1	    1	     1		 ---> 	 M3M4	    7	     2		0                 	0.00000E+00    	0.0            
	159	 K1K1	    1	     1		 ---> 	 M3M5	    3	     1		0                 	0.00000E+00    	0.0            
	160	 K1K1	    1	     1		 ---> 	 M3M4	    5	     1		0                 	0.00000E+00    	0.0            
	161	 K1K1	    1	     1		 ---> 	 M3M5	    7	     1		0                 	0.00000E+00    	0.0            
	162	 K1K1	    1	     1		 ---> 	 M3M5	    9	     1		0                 	0.00000E+00    	0.0            
	163	 K1K1	    1	     1		 ---> 	 M2N1	    1	     1		1.82760582727E+04 	2.05537E+08    	8.500327312327519e-07
	164	 K1K1	    1	     1		 ---> 	 M3N1	    3	     1		1.82785716634E+04 	3.89432E+08    	1.6105613421886718e-06
	165	 K1K1	    1	     1		 ---> 	 M5M5	    1	     3		0                 	0.00000E+00    	0.0            
	166	 K1K1	    1	     1		 ---> 	 M4M5	    7	     3		0                 	0.00000E+00    	0.0            
	167	 K1K1	    1	     1		 ---> 	 M4M5	    9	     2		0                 	0.00000E+00    	0.0            
	168	 K1K1	    1	     1		 ---> 	 M4M5	    1	     2		0                 	0.00000E+00    	0.0            
	169	 K1K1	    1	     1		 ---> 	 M4M5	    3	     4		0                 	0.00000E+00    	0.0            
	170	 K1K1	    1	     1		 ---> 	 M4M4	    1	     1		0                 	0.00000E+00    	0.0            
	171	 K1K1	    1	     1		 ---> 	 M4M5	    3	     3		0                 	0.00000E+00    	0.0            
