# Atomic number Z= 29  Date:15-10-2021

# Number	Shelli	2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)	Partial Width (eV)
	93		L3M5	1	3		-43994.38544		967.44453           0.04873758727892456
	94		L2M4	1	4		-43975.2644			986.56557           0.051878654127877684
	95		L3M5	3	1		-43998.60133		963.22864           0.03159405120134855
	96		L3M4	3	2		-43996.54346		965.28651           0.04897260769035137
	97		L3M4	3	3		-43995.96404		965.86593           0.046557668420400246
	98		L3M5	3	4		-43994.51175		967.31822           0.05129471370073103
	99		L2M4	3	5		-43978.36423		983.46574           0.023757130806180016
	100		L2M5	3	6		-43976.65918		985.17079           0.045481453802075855
	101		L2M4	3	7		-43975.06705		986.76292           0.05197763418150754
	102		L3M5	5	1		-43998.55802		963.27195           0.031490564364513945
	103		L3M4	5	2		-43997.42741		964.40256           0.040251924071634936
	104		L3M4	5	3		-43996.67386		965.15611           0.04974839513730116
	105		L3M5	5	4		-43994.82458		967.00539           0.05884902320752059
	106		L2M4	5	5		-43978.15947		983.6705            0.024096827575066315
	107		L2M5	5	6		-43976.95857		984.8714            0.04585831505353739
	108		L2M5	5	7		-43975.92756		985.90241           0.051837670512412115
	109		L3M5	7	1		-43998.50563		963.32434           0.01941468032161594
	110		L3M5	7	2		-43997.65021		964.17976           0.04192398554370381
	111		L3M4	7	3		-43994.82773		967.00224           0.05693588226822639
	112		L2M5	7	4		-43976.19634		985.63363           0.052629667234592475
	113		L3M5	9	1		-43998.85658		962.97339           0.019037406376502673
	114		L2N1	1	1		-43986.55705		975.27292           0.0435434137142142
	115		L3N1	3	1		-44006.62205		955.20792           0.04331479273556395
	116		M1M1	1	1		-44676.86689		284.96308           0.00031658620007743703
	117		M1M2	1	1		-44732.21216		229.61781           0.000951969414072789
	118		M1M2	1	2		-44731.31626		230.51371           0.0011619029572756264
	119		M1M3	1	3		-44717.78789		244.04208           0.0014852832126655256
	120		M1M3	3	1		-44733.70124		228.12873           0.0010949859508418182
	121		M1M2	3	2		-44732.40024		229.42973           0.0010279434605350926
	122		M1M3	3	3		-44717.62801		244.20196           0.0015369167657010793
	123		M1M3	5	1		-44734.1342			227.69577           0.0007545746278874359
	124		M1M4	1	1		-44806.46243		155.36754           0.00026289123983759164
	125		M1M4	3	1		-44806.52359		155.30638           0.0002647462762319533
	126		M1M4	3	2		-44805.90794		155.92203           0.0002192593833250375
	127		M1M5	3	3		-44800.90445		160.92552           0.00023386215549315125
	128		M1M5	5	1		-44806.6196			155.21037           0.0002656427969539924
	129		M1M5	5	2		-44806.0963			155.73367           0.00021868873703035022
	130		M1M5	5	3		-44800.89964		160.93033           0.00023539215117902537
	131		M1M5	7	1		-44806.74286		155.08711           0.00026553683874117403
	132		M1N1	1	1		-44813.40886		148.42111           0.0002536978825985287
	133		M2M3	1	1		-44776.31197		185.518             0.001388749267282321
	134		M2M3	1	2		-44775.60218		186.22779           0.0015418617509864228
	135		M2M2	1	3		-44766.32002		195.50995           0.0016141174650120707
	136		M3M3	3	1		-44777.89446		183.93551           0.0014563227790102553
	137		M2M3	3	2		-44776.25216		185.57781           0.0014471916665442102
	138		M2M3	3	3		-44772.69458		189.13539           0.0013450618555397116
	139		M3M3	5	1		-44778.47368		183.35629           0.0013529406949575194
	140		M2M3	5	2		-44772.73514		189.09483           0.0013300334522532585
	141		M3M4	1	1		-44853.79593		108.03404           0.0006480207366503451
	142		M3M4	1	2		-44853.04654		108.78343           0.0007582959039372534
	143		M2M4	1	3		-44851.62555		110.20442           0.0010099843513587735
	144		M2M4	1	4		-44844.43593		117.39404           0.0010697275686908144
	145		M3M5	3	1		-44858.36506		103.46491           0.0003673228040503795
	146		M2M4	3	2		-44856.63186		105.19811           0.0003689462311387369
	147		M3M4	3	3		-44853.67604		108.15393           0.0006846860952876348
	148		M3M4	3	4		-44852.69041		109.13956           0.0008588587153704638
	149		M2M4	3	5		-44851.4785			110.35147           0.001017939284755646
	150		M2M5	3	6		-44850.66879		111.16118           0.0010333664582216316
	151		M2M4	3	7		-44844.42324		117.40673           0.0010544033386597471
	152		M3M4	5	1		-44858.40529		103.42468           0.0003238924193430624
	153		M3M4	5	2		-44857.94572		103.88425           0.00036685108844092826
	154		M2M4	5	3		-44856.33285		105.49712           0.00038507255031369064
	155		M3M4	5	4		-44853.2676			108.56237           0.0007692486469400232
	156		M3M5	5	5		-44852.07763		109.75234           0.0010584052886819955
	157		M2M5	5	6		-44851.11681		110.71316           0.0010307937771379383
	158		M2M5	5	7		-44843.33111		118.49886           0.001629509844249201
	159		M3M5	7	1		-44859.11994		102.71003           0.00027990446944659166
	160		M3M4	7	2		-44858.12142		103.70855           0.00030884598593967563
	161		M3M5	7	3		-44852.64503		109.18494           0.001052499399727792
	162		M2M5	7	4		-44843.34066		118.48931           0.0016355650234813274
	163		M3M5	9	1		-44859.59417		102.2358            0.000253283917699591
	164		M2N1	1	1		-44859.71125		102.11872           0.00079489187612443
	165		M3N1	3	1		-44862.22471		99.60526            0.0007428151326471823
	166		M4M4	1	1		-44929.26926		32.56071            2.1829042595852517e-15
	167		M4M5	1	2		-44928.47619		33.35378            1.56603618073955e-12
	168		M5M5	1	3		-44923.05613		38.77384            5.4466043590426794e-12
	169		M4M4	3	1		-44931.90176		29.92821            4.3486133920569446e-16
	170		M5M5	3	2		-44929.58133		32.24864            2.932419047945067e-13
	171		M4M5	3	3		-44929.30033		32.52964            2.3641009869399075e-14
	172		M4M5	3	4		-44928.56693		33.26304            1.51470956484645e-12
	173		M4M5	5	1		-44931.99185		29.83812            1.419473922479152e-15
	174		M4M5	5	2		-44931.16889		30.66108            2.783743708934839e-13
	175		M5M5	5	3		-44929.64872		32.18125            2.006861016772702e-13
	176		M4M5	5	4		-44929.31054		32.51943            1.101156849692759e-13
	177		M4M5	7	1		-44932.1209			29.70907            3.081510400729006e-15
	178		M5M5	7	2		-44931.40683		30.42314            2.6379839653788733e-13
	179		M4M5	7	3		-44928.28118		33.54879            5.67953504720127e-13
	180		M5M5	9	1		-44932.27614		29.55383            5.472232796463733e-17
	181		M4M5	9	2		-44928.285			33.54497            6.207194070528722e-13
	182		M4N1	3	1		-44937.79516		24.03481            5.392579822168319e-16
	183		M5N1	5	1		-44938.04443		23.78554            0.0
