# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	55 	   L1	    2	     1		 ---> 	   L3	    4	     1		1.67467161240E+02 	1.26250E+11    	0.0005221280466199999
	56 	   L1	    2	     1		 ---> 	   M1	    0	     1		9.74207456808E+02 	2.77393E+04    	1.1472052691965279e-10
	57 	   L1	    2	     1		 ---> 	   M1	    2	     1		9.74391640272E+02 	1.29711E+06    	5.36441592515856e-09
	58 	   L1	    2	     1		 ---> 	   M2	    2	     2		1.02057798129E+03 	1.58418E+12    	0.006551642050649279
	59 	   L1	    2	     1		 ---> 	   M2	    0	     1		1.02072088094E+03 	8.88928E+11    	0.0036763108136698875
	60 	   L1	    2	     1		 ---> 	   M3	    2	     1		1.02299080541E+03 	9.96779E+11    	0.004122346710351184
	61 	   L1	    2	     1		 ---> 	   M3	    4	     1		1.02323569337E+03 	4.12624E+12    	0.017064757473943037
	62 	   L1	    2	     1		 ---> 	   M4	    4	     2		1.09835758664E+03 	5.38801E+08    	2.2283018902724958e-06
	63 	   L1	    2	     1		 ---> 	   M4	    2	     1		1.09871471262E+03 	4.70587E+09    	1.9461914540575518e-05
	64 	   L1	    2	     1		 ---> 	   M5	    4	     1		1.09884348752E+03 	7.32070E+09    	3.0275982502107196e-05
	65 	   L1	    2	     1		 ---> 	   M5	    6	     1		1.09896277276E+03 	1.08645E+10    	4.4931961683192e-05
	66 	   L1	    2	     1		 ---> 	   N1	    0	     1		1.09970023130E+03 	2.92539E+03    	1.2098440921201438e-11
	67 	   L2	    2	     2		 ---> 	   L2	    0	     1		4.09984466805E-02 	4.34841E-04    	1.798357876596336e-18
	68 	   L2	    2	     2		 ---> 	   L3	    2	     1		2.00260670672E+01 	1.25894E+04    	5.2065574892022395e-11
	69 	   L2	    2	     2		 ---> 	   L3	    4	     1		2.01088676904E+01 	6.32907E+04    	2.6174930344722716e-10
	70 	   L2	    2	     2		 ---> 	   M1	    0	     1		8.26849163258E+02 	1.90439E+11    	0.0007875924203585439
	71 	   L2	    2	     2		 ---> 	   M1	    2	     1		8.27033346722E+02 	3.71927E+11    	0.001538166479170192
	72 	   L2	    2	     2		 ---> 	   M2	    2	     2		8.73219687741E+02 	5.34296E+06    	2.2096707073020158e-08
	73 	   L2	    2	     2		 ---> 	   M2	    0	     1		8.73362587390E+02 	2.85991E+04    	1.182763740046736e-10
	74 	   L2	    2	     2		 ---> 	   M3	    2	     1		8.75632511860E+02 	7.41937E+08    	3.0684048833671517e-06
	75 	   L2	    2	     2		 ---> 	   M3	    4	     1		8.75877399823E+02 	7.40143E+08    	3.0609854955205276e-06
	76 	   L2	    2	     2		 ---> 	   M4	    4	     2		9.50999293089E+02 	5.28189E+12    	0.021844141846825437
	77 	   L2	    2	     2		 ---> 	   M4	    2	     1		9.51356419066E+02 	1.58580E+12    	0.006558341832316799
	78 	   L2	    2	     2		 ---> 	   M5	    4	     1		9.51485193973E+02 	2.78869E+12    	0.011533095147158239
